x,scaled_C_q_0.20000000,scaled_C_q_0.60000000,scaled_C_q_0.90000000,scaled_C_q_0.98000000,scaled_C_q_0.99600799
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,3.124674517140488988e-04,3.124674525275809205e-04,3.124674531376473341e-04,3.124674533003182091e-04,3.124674533328678557e-04
5.000000000000000278e-02,1.249479409629864271e-03,1.249479461644115467e-03,1.249479500633694611e-03,1.249479511027404809e-03,1.249479513106994564e-03
7.500000000000001110e-02,2.809866047438540348e-03,2.809866638931454025e-03,2.809867082011666736e-03,2.809867200076773906e-03,2.809867223696761382e-03
1.000000000000000056e-01,4.991682198599832650e-03,4.991685514288654243e-03,4.991687995688240918e-03,4.991688656504730988e-03,4.991688788686159117e-03
1.250000000000000000e-01,7.792214146946589877e-03,7.792226757614749769e-03,7.792236183790952203e-03,7.792238692171400867e-03,7.792239193815175130e-03
1.500000000000000222e-01,1.120798908299204012e-02,1.120802660125068753e-02,1.120805460396518370e-02,1.120806204891190358e-02,1.120806353744144626e-02
1.750000000000000167e-01,1.523478717581065039e-02,1.523488137644508217e-02,1.523495156367884670e-02,1.523497020404980876e-02,1.523497392990668005e-02
2.000000000000000111e-01,1.986765619662223328e-02,1.986786505399139660e-02,1.986802036039374622e-02,1.986806155627325252e-02,1.986806978786138586e-02
2.250000000000000056e-01,2.510092861689721191e-02,2.510134965728185938e-02,2.510166204129530773e-02,2.510174478903741749e-02,2.510176131730697258e-02
2.500000000000000000e-01,3.092824109100839741e-02,3.092902839556873826e-02,3.092961106948455621e-02,3.092976518023003024e-02,3.092979595036548374e-02
2.750000000000000222e-01,3.734255622126424895e-02,3.734394134643075763e-02,3.734496366000163159e-02,3.734523360224434319e-02,3.734528747599999421e-02
3.000000000000000444e-01,4.433618649165096959e-02,4.433850349949715330e-02,4.434020852905943416e-02,4.434065793615870471e-02,4.434074758439505992e-02
3.250000000000000111e-01,5.190082024586034626e-02,5.190453495854968624e-02,5.190725978363332216e-02,5.190797660763298016e-02,5.190811952867815243e-02
3.500000000000000333e-01,6.002754957525546775e-02,6.003329308633673089e-02,6.003749166621275696e-02,6.003859394051302284e-02,6.003881359622124936e-02
3.750000000000000000e-01,6.870689997338866317e-02,6.871550636589500438e-02,6.872177486112966693e-02,6.872341701699238858e-02,6.872374407490942916e-02
4.000000000000000222e-01,7.792886160559188424e-02,7.794140974396444876e-02,7.795051406441247388e-02,7.795289373043753911e-02,7.795336739739955334e-02
4.250000000000000444e-01,8.768292203505580196e-02,8.770078121623095524e-02,8.771368651848125697e-02,8.771705171846247429e-02,8.771772114833205347e-02
4.500000000000000111e-01,9.795810024074128042e-02,9.798297941066444472e-02,9.800088121603142688e-02,9.800553786929798450e-02,9.800646362543333212e-02
4.750000000000000333e-01,1.087429817574576130e-01,1.087769819241030805e-01,1.088013384839297687e-01,1.088076581036215018e-01,1.088089136551191882e-01
5.000000000000000000e-01,1.200257547645202233e-01,1.200714241684291972e-01,1.201039896675900331e-01,1.201124171464252599e-01,1.201140903761950957e-01
5.250000000000000222e-01,1.317942469465838984e-01,1.318546384861029319e-01,1.318974966487853340e-01,1.319085580187986662e-01,1.319107527211123843e-01
5.500000000000000444e-01,1.440359629485397919e-01,1.441146933003672748e-01,1.441702909448407122e-01,1.441846009972359843e-01,1.441874383425285344e-01
5.750000000000000666e-01,1.567381222457734091e-01,1.568394320729801505e-01,1.569106121542541143e-01,1.569288818078112546e-01,1.569325017531614241e-01
