t_over_beta,eps_0.05_s_10,eps_0.02_s_10,eps_0.01_s_10,eps_0.005_s_10,eps_0.02_s_20,eps_0.01_s_20,eps_0.005_s_20,eps_0.005_s_40
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.081972700332833881e-03,1.072767054438372725e-03,1.069667676032004522e-03,1.068118122356409572e-03,1.288132751596116066e-03,1.280803333583158121e-03,1.277124165014242863e-03,1.406172598960253595e-03
2.500000000000000139e-02,4.325616425001399534e-03,4.288794888122282600e-03,4.276397718748103927e-03,4.270199649181627422e-03,5.149283686077588129e-03,5.119970156588493637e-03,5.105255512783291039e-03,5.620779924326413379e-03
3.750000000000000555e-02,9.724127278300631616e-03,9.641282805898931940e-03,9.613390484484174436e-03,9.599445383449367597e-03,1.157374371776986877e-02,1.150780381162608279e-02,1.147470347451662320e-02,1.263213428916110104e-02
5.000000000000000278e-02,1.726622920012355067e-02,1.711896028149295645e-02,1.706937726651780451e-02,1.704458739695624558e-02,2.054543993202884167e-02,2.042825209976317780e-02,2.036942600239921575e-02,2.242090027427057208e-02
6.250000000000000000e-02,2.693626841756602275e-02,2.670618170137206704e-02,2.662871513654030409e-02,2.658998392302125424e-02,3.204209648009426203e-02,3.185906817863726204e-02,3.176719047197984480e-02,3.496030728336929627e-02
7.500000000000001110e-02,3.871434331979939358e-02,3.838305663494567810e-02,3.827151734804834504e-02,3.821574982793807251e-02,4.603545503169703679e-02,4.577203101555760156e-02,4.563979414042584892e-02,5.021644013625525815e-02
8.750000000000000833e-02,5.257646748494781974e-02,5.212561334679088887e-02,5.197381701047909530e-02,5.189792036989970825e-02,6.249155019470009620e-02,6.213322080565042427e-02,6.195333956770543438e-02,6.814860111614873261e-02
1.000000000000000056e-01,6.849476305703916523e-02,6.790599273302921901e-02,6.770776121415478244e-02,6.760864542076339134e-02,8.137103428305803021e-02,8.090334372989360645e-02,8.066855937799122245e-02,8.870973536179072028e-02
1.125000000000000028e-01,8.643768122202466486e-02,8.569266941330866416e-02,8.544183232831326080e-02,8.531641087177943561e-02,1.026295449860938902e-01,1.020380996064678136e-01,1.017411839080293312e-01,1.118469104491106592e-01
1.250000000000000000e-01,1.063702461743574190e-01,1.054506963504913131e-01,1.051410928405167589e-01,1.049862835864368016e-01,1.262181088675271567e-01,1.254885853601339640e-01,1.251223446693185970e-01,1.375018401000058788e-01
1.375000000000000111e-01,1.282543187063147627e-01,1.271419691109278993e-01,1.267674498425868101e-01,1.265801760037450485e-01,1.520835732340639623e-01,1.512017268447150009e-01,1.507590061567722906e-01,1.656114415938789719e-01
1.500000000000000222e-01,1.520488753937483395e-01,1.507255057194334391e-01,1.502799351106367531e-01,1.500571263361769603e-01,1.801690587404145560e-01,1.791207313839007220e-01,1.785944183664773810e-01,1.961084162287933808e-01
1.625000000000000056e-01,1.777102992930221781e-01,1.761577380055880937e-01,1.756349966702885901e-01,1.753735902481281528e-01,2.104144251407085164e-01,2.091855534422912832e-01,2.085685824326284354e-01,2.289218424866055202e-01
1.750000000000000167e-01,2.051926780997295197e-01,2.033928103747437710e-01,2.027867977739856720e-01,2.024837399423513595e-01,2.427567428459935783e-01,2.413333660726633134e-01,2.406187220333459997e-01,2.639777719140843359e-01
1.875000000000000000e-01,2.344481058426399755e-01,2.323828820624145308e-01,2.316875193453524773e-01,2.313397667034067240e-01,2.771307633494517475e-01,2.754990312148994924e-01,2.746797536322298505e-01,3.011998185486755020e-01
2.000000000000000111e-01,2.654269843863161782e-01,2.630784291329906210e-01,2.622876621461944779e-01,2.618921831536580314e-01,3.134693821523253376e-01,3.116155624655951861e-01,3.106847491803761407e-01,3.405097335700171257e-01
2.125000000000000222e-01,2.980783212805566684e-01,2.954285427505998207e-01,2.945363451907327956e-01,2.940901217437459358e-01,3.517040884795781253e-01,3.496145746161691825e-01,3.485653855733672479e-01,3.818279579229022502e-01
2.250000000000000056e-01,3.323500208116447752e-01,3.293812205701418527e-01,3.283815972533452587e-01,3.278816263234802797e-01,3.917653968287035937e-01,3.894267149966670338e-01,3.882523759023102095e-01,4.250741467799130646e-01
2.375000000000000167e-01,3.681891654657789559e-01,3.648836484538597880e-01,3.637706386727077579e-01,3.632139339933528888e-01,4.335832561824197739e-01,4.309820724627821953e-01,4.296758783334477805e-01,4.701676609265241780e-01
2.500000000000000000e-01,4.055422853954659956e-01,4.018824701021128654e-01,4.006501510407169953e-01,4.000337448271538143e-01,4.770874335283634693e-01,4.742105606620428127e-01,4.727658792603057769e-01,5.170280212449771540e-01
2.625000000000000111e-01,4.443556138729745086e-01,4.403240425825059035e-01,4.389665327605820622e-01,4.382874774471434698e-01,5.222078691194464994e-01,5.190422730253501094e-01,5.174525481625544820e-01,5.655753236631024805e-01
2.750000000000000222e-01,4.845753271088453218e-01,4.801546761377335493e-01,4.786661388550541574e-01,4.779215088353341301e-01,5.688750016794079656e-01,5.654078076797923735e-01,5.636665623819818727e-01,6.157306129505206727e-01
2.875000000000000333e-01,5.261477671987400129e-01,5.213208570390519547e-01,5.196955037911035191e-01,5.188823971481628661e-01,6.170200624658424005e-01,6.132385612051272084e-01,6.113394007294945531e-01,6.674162146852751221e-01
3.000000000000000444e-01,5.690196473291670998e-01,5.637694526214818147e-01,5.620015464626266777e-01,5.611170866746233443e-01,6.665753377527448009e-01,6.624669907913269817e-01,6.604036054881397000e-01,7.205560255829972505e-01
3.125000000000000000e-01,6.131382387154280522e-01,6.074478979805038037e-01,6.055317568100231362e-01,6.045730944185079281e-01,7.174743998682791002e-01,7.130268449429766342e-01,7.107930129523736262e-01,7.750757630743958515e-01
3.250000000000000111e-01,6.584515390582907912e-01,6.523043641238239765e-01,6.502343638732006603e-01,6.491986781053333821e-01,7.696523074152681332e-01,7.648533633515328667e-01,7.624429531334606658e-01,8.309031756215858877e-01
3.375000000000000222e-01,7.049084225855302144e-01,6.982879076521895101e-01,6.960584853554419027e-01,6.949429856889932644e-01,8.230457757202378488e-01,8.178834469934499474e-01,8.152904196824111160e-01,8.879682157326245218e-01
3.500000000000000333e-01,7.524587719890241111e-01,7.453486022879269868e-01,7.429542590187128148e-01,7.417561866802993009e-01,8.775933188860891576e-01,8.720557998207971728e-01,8.692742114063833903e-01,9.462031780055548680e-01
3.625000000000000444e-01,8.010535927761441854e-01,7.934376527776088039e-01,7.908729564394914036e-01,7.895895858317194538e-01,9.332353650837532655e-01,9.273110436930269707e-01,9.243350470189901635e-01,1.005542804774797183e+00
3.750000000000000000e-01,8.506451107268357958e-01,8.425074918682078362e-01,8.397670798270775450e-01,8.383957198764426799e-01,9.899143469077111845e-01,9.835918083686823188e-01,9.804156549533860066e-01,1.065924362088506605e+00
3.875000000000000111e-01,9.011868532857851832e-01,8.925118611934670376e-01,8.895904427432848038e-01,8.881284381657588156e-01,1.047574768744105711e+00,1.040842798510023481e+00,1.037460840185959743e+00,1.127287688852540271e+00
4.000000000000000222e-01,9.526337158247590864e-01,9.434058770121502846e-01,9.402982356682230147e-01,9.387429681482735155e-01,1.106163253167214755e+00,1.099010839718240984e+00,1.095417530092288150e+00,1.189575221954841666e+00
4.125000000000000333e-01,1.004942013786056965e+00,9.951460818158381905e-01,9.918470774311023419e-01,9.901959667118593877e-01,1.165628568400921772e+00,1.158044905640249755e+00,1.154234801376943675e+00,1.252732000131184797e+00
4.250000000000000444e-01,1.058069521767080801e+00,1.047690482871857398e+00,1.044195053573910847e+00,1.042445558458406030e+00,1.225921638865549390e+00,1.217896128163391989e+00,1.213863890090764119e+00,1.316705649282232216e+00
4.375000000000000000e-01,1.111975500631125602e+00,1.100998578791338112e+00,1.097301742739416941e+00,1.095451362000450235e+00,1.286995540771455282e+00,1.278517792665409214e+00,1.274258186708645990e+00,1.381446351769612058e+00
4.500000000000000111e-01,1.166620713734299208e+00,1.155031375217148604e+00,1.151128232180073319e+00,1.149174505380687883e+00,1.348805484645257735e+00,1.339865320204112198e+00,1.335373218150426755e+00,1.446906802087704058e+00
4.625000000000000222e-01,1.221967433345573451e+00,1.209751390712098473e+00,1.205637123469737393e+00,1.203577631693766747e+00,1.411308786576128682e+00,1.401896238436320719e+00,1.397166618532657889e+00,1.513042151135740809e+00
4.750000000000000333e-01,1.277979438309952087e+00,1.265122653901249894e+00,1.260792529471836065e+00,1.258624895967014101e+00,1.474464829853218362e+00,1.464570142936368224e+00,1.459598090329276676e+00,1.579809941136280038e+00
4.875000000000000444e-01,1.334622003965920456e+00,1.321110692881421134e+00,1.316560063579515827e+00,1.314281954315464240e+00,1.538235018544802379e+00,1.527848650470077008e+00,1.522629357486636525e+00,1.647170033029467184e+00
5.000000000000000000e-01,1.391861885280746058e+00,1.377682517864537548e+00,1.372906822194204679e+00,1.370515946336113622e+00,1.602582724446907747e+00,1.591695345643778570e+00,1.586224111923187241e+00,1.715084528028558708e+00
