time,length,classical_length,phase,classical_phase,length_velocity
0.000000000000000000e+00,2.702889093501132933e+00,2.684264050657600098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,2.703971066201468876e+00,2.685330601990163935e+00,8.995013965889468721e-03,8.837685528170444518e-03,1.730852813262862694e-02
2.500000000000000000e-01,2.707214709926131668e+00,2.688527983348037331e+00,1.796968012416284843e-02,1.765517454770072769e-02,3.458069193428169041e-02
3.750000000000000000e-01,2.712613220779428680e+00,2.693849396146161368e+00,2.690384207670432071e-02,2.643246098020108834e-02,5.178043434622144059e-02
5.000000000000000000e-01,2.720155322701246270e+00,2.701283573508838742e+00,3.577772229929475356e-02,3.514991568043204090e-02,6.887230734573879243e-02
6.250000000000000000e-01,2.729825361918685189e+00,2.710814875209532460e+00,4.457210185882518744e-02,4.378846522694812560e-02,8.582176286178737346e-02
7.500000000000000000e-01,2.741603436820917672e+00,2.722423418206167511e+00,5.326848885921824095e-02,5.232975949242244657e-02,1.025954278324447133e-01
8.750000000000000000e-01,2.755465560986071871e+00,2.736085240478806746e+00,6.184927248937261562e-02,6.075632488138892062e-02,1.191613588696167902e-01
1.000000000000000000e+00,2.771383856558162773e+00,2.751772495341560543e+00,7.029786004164854940e-02,6.905170061629825606e-02,1.354892725957197175e-01
1.125000000000000000e+00,2.789326774723149160e+00,2.769453672948022138e+00,7.859879483621709517e-02,7.720055601722834726e-02,1.515507484145452999e-01
1.250000000000000000e+00,2.809259339675485023e+00,2.789093845349948531e+00,8.673785359631774883e-02,8.518878732772783291e-02,1.673194012431001299e-01
1.375000000000000000e+00,2.831143412207439702e+00,2.810654931208766971e+00,9.470212244289295811e-02,9.300359326001600424e-02,1.827710225325166471e-01
1.500000000000000000e+00,2.854937968894875056e+00,2.834095976101378866e+00,1.024800512864363633e-01,1.006335290394501647e-01,1.978836887122273902e-01
1.625000000000000000e+00,2.880599392794153779e+00,2.859373444304297074e+00,1.100614869644836041e-01,1.080685392962000418e-01,2.126378369734710505e-01
1.750000000000000000e+00,2.908081771600863341e+00,2.886441517978514781e+00,1.174376859846201354e-01,1.152999706611399222e-01,2.270163090392672278e-01
1.875000000000000000e+00,2.937337199343775573e+00,2.915252399803711647e+00,1.246013081698834624e-01,1.223205653578803703e-01,2.410043642269040498e-01
2.000000000000000000e+00,2.968316077887454441e+00,2.945756615314176763e+00,1.315463928561815543e-01,1.291244374338314793e-01,2.545896636784192313e-01
2.125000000000000000e+00,3.000967414781695375e+00,2.977903311457874569e+00,1.382683195553112698e-01,1.357070335357438984e-01,2.677622281035717533e-01
2.250000000000000000e+00,3.035239114312783926e+00,3.011640548221359737e+00,1.447637551727188332e-01,1.420650803096972503e-01,2.805143717416767601e-01
2.375000000000000000e+00,3.071078258966911001e+00,3.046915580522918887e+00,1.510305899607963798e-01,1.481965205965003751e-01,2.928406155032620140e-01
2.500000000000000000e+00,3.108431378896596264e+00,3.083675127961060802e+00,1.570678644040277849e-01,1.541004406086764755e-01,3.047375824022988122e-01
2.625000000000000000e+00,3.147244707374103889e+00,3.121865630402451686e+00,1.628756891817350616e-01,1.597769902246672924e-01,3.162038784426797200e-01
2.750000000000000000e+00,3.187464420609974258e+00,3.161433487790957564e+00,1.684551602489852140e-01,1.652272984309930137e-01,3.272399620882694427e-01
2.875000000000000000e+00,3.229036860699870726e+00,3.202325282947424689e+00,1.738082709283391147e-01,1.704533857957660492e-01,3.378480053365584546e-01
3.000000000000000000e+00,3.271908740830291151e+00,3.244487986499579257e+00,1.789378227263444532e-01,1.754580756788957085e-01,3.480317492446863836e-01
3.125000000000000000e+00,3.316027332216559209e+00,3.287869143426064511e+00,1.838473363899991164e-01,1.802449056865017274e-01,3.577963565372281884e-01
3.250000000000000000e+00,3.361340632559425057e+00,3.332417041013024495e+00,1.885409645097088915e-01,1.848180406692975508e-01,3.671482636708469638e-01
3.375000000000000000e+00,3.407797516086669809e+00,3.378080858302189071e+00,1.930234067649847507e-01,1.891821883554157535e-01,3.760950344541414969e-01
3.500000000000000000e+00,3.455347865490165482e+00,3.424810797354188807e+00,1.972998287042146692e-01,1.933425185042308425e-01,3.846452170334327958e-01
3.625000000000000000e+00,3.503942686277285556e+00,3.472558196859036883e+00,2.013757847556935099e-01,1.973045862745568535e-01,3.928082057662257709e-01
3.750000000000000000e+00,3.553534204227980275e+00,3.521275628797896573e+00,2.052571459876714188e-01,2.010742603220878333e-01,4.005941092223205269e-01
3.875000000000000000e+00,3.604075946786935880e+00,3.570916978997729530e+00,2.089500329731025230e-01,2.046576559797222139e-01,4.080136252845811828e-01
4.000000000000000000e+00,3.655522809325907119e+00,3.621437512525329971e+00,2.124607539715513693e-01,2.080610737319464332e-01,4.150779240717003549e-01
4.125000000000000000e+00,3.707831107287203665e+00,3.672793924942210353e+00,2.157957485168573442e-01,2.112909430712684444e-01,4.217985391784824234e-01
4.250000000000000000e+00,3.760958615268223504e+00,3.724944380489780826e+00,2.189615363944518722e-01,2.143537717205581394e-01,4.281872675260856576e-01
4.375000000000000000e+00,3.814864594132267417e+00,3.777848538298463232e+00,2.219646719058381568e-01,2.172561001192465924e-01,4.342560779376820612e-01
4.500000000000000000e+00,3.869509807235440135e+00,3.831467567717983691e+00,2.248117032484501510e-01,2.200044610024266822e-01,4.400170284028308565e-01
4.625000000000000000e+00,3.924856526846713045e+00,3.885764153852319325e+00,2.275091367853807889e-01,2.226053438484731362e-01,4.454821918671917902e-01
4.750000000000000000e+00,3.980868531811088573e+00,3.940702494354643370e+00,2.300634059396448605e-01,2.250651639311946339e-01,4.506635902803511895e-01
4.875000000000000000e+00,4.037511097467054277e+00,3.996248288497987744e+00,2.324808444199770174e-01,2.273902356850180662e-01,4.555731365529251953e-01
5.000000000000000000e+00,4.094750978781876327e+00,4.052368719488817383e+00,2.347676634679477792e-01,2.295867500745752965e-01,4.602225840120489631e-01
5.125000000000000000e+00,4.152556387613939748e+00,4.109032430935649849e+00,2.369299328077534017e-01,2.316607556516773192e-01,4.646234828998447308e-01
5.250000000000000000e+00,4.210896964952455690e+00,4.166209498325272875e+00,2.389735649788720662e-01,2.336181429814863653e-01,4.687871434305632135e-01
5.375000000000000000e+00,4.269743748923211513e+00,4.223871396296878800e+00,2.409043027364587974e-01,2.354646321243425988e-01,4.727246049061396005e-01
5.500000000000000000e+00,4.329069139286143120e+00,4.281990962440974435e+00,2.427277092136356507e-01,2.372057628689137054e-01,4.764466103852574852e-01
5.625000000000000000e+00,4.388846859087495389e+00,4.340542358286565872e+00,2.444491605526037670e-01,2.388468874250201379e-01,4.799635864056205348e-01
5.750000000000000000e+00,4.449051914067557512e+00,4.399501028077879461e+00,2.460738407268139583e-01,2.403931652996982860e-01,4.832856272707358736e-01
5.875000000000000000e+00,4.509660550364939624e+00,4.458843655881521428e+00,2.476067382934730166e-01,2.418495600969897130e-01,4.864224834304949896e-01
6.000000000000000000e+00,4.570650211000716112e+00,4.518548121507241611e+00,2.490526448337526122e-01,2.432208379999219461e-01,4.893835535065919617e-01
6.125000000000000000e+00,4.631999491571408001e+00,4.578593455670652901e+00,2.504161548566550266e-01,2.445115677116149189e-01,4.921778795391731909e-01
6.250000000000000000e+00,4.693688095528289139e+00,4.638959794774844880e+00,2.517016669611285562e-01,2.457261216509698531e-01,4.948141450582210776e-01
6.375000000000000000e+00,4.755696789372839461e+00,4.699628335639909338e+00,2.529133860693572600e-01,2.468686782166204519e-01,4.973006756115544991e-01
6.500000000000000000e+00,4.818007358053959521e+00,4.760581290465070836e+00,2.540553265619152068e-01,2.479432249504848751e-01,4.996454414104249953e-01
6.625000000000000000e+00,4.880602560811858837e+00,4.821801842267472438e+00,2.551313161624672032e-01,2.489535624491474863e-01,5.018560617820856384e-01
6.750000000000000000e+00,4.943466087676650744e+00,4.883274101004564827e+00,2.561450004357735399e-01,2.499033088872900377e-01,5.039398111471287134e-01
6.875000000000000000e+00,5.006582516795965887e+00,4.944983060553427734e+00,2.570998477778357327e-01,2.507959050323817496e-01,5.059036262663452188e-01
7.000000000000000000e+00,5.069937272735699274e+00,5.006914556690084339e+00,2.579991547910339134e-01,2.516346196437829197e-01,5.077541145279094170e-01
7.125000000000000000e+00,5.133516585870891547e+00,5.069055226184758567e+00,2.588460519500526136e-01,2.524225551622892305e-01,5.094975630700852021e-01
7.250000000000000000e+00,5.197307452959577745e+00,5.131392467104848976e+00,2.596435094762523654e-01,2.531626536079565337e-01,5.111399485576548773e-01
7.375000000000000000e+00,5.261297598971098388e+00,5.193914400396078435e+00,2.603943433489734893e-01,2.538577026148107207e-01,5.126869474515635128e-01
7.500000000000000000e+00,5.325475440221476120e+00,5.256609832793431636e+00,2.611012213920553826e-01,2.545103415408138670e-01,5.141439466310224748e-01
7.625000000000000000e+00,5.389830048852147115e+00,5.319468221097094940e+00,2.617666693827077062e-01,2.551230676002645414e-01,5.155160542451929784e-01
7.750000000000000000e+00,5.454351118673862686e+00,5.382479637834318709e+00,2.623930771378027993e-01,2.556982419737174883e-01,5.168081106883677389e-01
7.875000000000000000e+00,5.519028932385362296e+00,5.445634738315790813e+00,2.629827045397489238e-01,2.562380958575689038e-01,5.180246996070085874e-01
8.000000000000000000e+00,5.583854330165824997e+00,5.508924729084615279e+00,2.635376874704035699e-01,2.567447364217385619e-01,5.191701588609674012e-01
8.125000000000000000e+00,5.648818679631071760e+00,5.572341337747005241e+00,2.640600436270650886e-01,2.572201526494373169e-01,5.202485913729124611e-01
8.250000000000000000e+00,5.713913847136142365e+00,5.635876784166303111e+00,2.645516781994933786e-01,2.576662210379114804e-01,5.212638758109651160e-01
8.375000000000000000e+00,5.779132170400202995e+00,5.699523752995673931e+00,2.650143893912139115e-01,2.580847111433545171e-01,5.222196770590661341e-01
8.500000000000000000e+00,5.844466432425186930e+00,5.763275367519772985e+00,2.654498737721275314e-01,2.584772909569304500e-01,5.231194564380938772e-01
8.625000000000000000e+00,5.909909836674792416e+00,5.827125164771436161e+00,2.658597314527034183e-01,2.588455321021146949e-01,5.239664816482485499e-01
8.750000000000000000e+00,5.975455983477703903e+00,5.891067071886363138e+00,2.662454710728616170e-01,2.591909148463806822e-01,5.247638364096629537e-01
8.875000000000000000e+00,6.041098847616076739e+00,5.955095383656122010e+00,2.666085146010697682e-01,2.595148329226807382e-01,5.255144297840372847e-01
9.000000000000000000e+00,6.106832757058633376e+00,6.019204741238091572e+00,2.669502019412511862e-01,2.598185981582449289e-01,5.262210051649240938e-01
9.125000000000000000e+00,6.172652372796374465e+00,6.083390111979685599e+00,2.672717953468514707e-01,2.601034449099772772e-01,5.268861489286083000e-01
9.250000000000000000e+00,6.238552669738212764e+00,6.147646770313413001e+00,2.675744836428931017e-01,2.603705343072107437e-01,5.275122987411694497e-01
9.375000000000000000e+00,6.304528918623413247e+00,6.211970279679055906e+00,2.678593862580729290e-01,2.606209583038177069e-01,5.281017515204032842e-01
9.500000000000000000e+00,6.370576668907757423e+00,6.276356475429235360e+00,2.681275570699763189e-01,2.608557435426958060e-01,5.286566710539128966e-01
9.625000000000000000e+00,6.436691732580664294e+00,6.340801448674969976e+00,2.683799880673101712e-01,2.610758550364795094e-01,5.291790952769002132e-01
9.750000000000000000e+00,6.502870168870970247e+00,6.405301531028422701e+00,2.686176128337169344e-01,2.612821996690019577e-01,5.296709432149596664e-01
9.875000000000000000e+00,6.569108269800086219e+00,6.469853280200794643e+00,2.688413098582571048e-01,2.614756295225536542e-01,5.301340215987129234e-01
1.000000000000000000e+01,6.635402546541778079e+00,6.534453466414282374e+00,2.690519056780400486e-01,2.616569450363930294e-01,5.305700311582450812e-01
