link_midpoint,probability_left,real_coherence,imaginary_coherence
5.000000000000000104e-03,2.966210353758178808e-58,7.282837634157803972e-59,-1.882905013686582295e-57
1.499999999999999944e-02,1.197027465859923561e-56,2.763562182520270755e-57,-5.308252669687320999e-56
2.500000000000000139e-02,2.360340089967110057e-55,5.823454915142958831e-56,-8.455661215527252071e-55
3.500000000000000333e-02,3.043516193645631020e-54,8.317396399309959167e-55,-9.375247120624015632e-54
4.499999999999999833e-02,2.910681059833256201e-53,8.799093699319315315e-54,-8.012558408436812389e-53
5.500000000000000028e-02,2.232306852322312339e-52,7.254017450297476188e-53,-5.654854719640148977e-52
6.500000000000000222e-02,1.456053837675342474e-51,4.815281343062913820e-52,-3.475034481503590339e-51
7.499999999999999722e-02,8.452801450952730838e-51,2.634711764379103753e-51,-1.931876273253051096e-50
8.500000000000000611e-02,4.497400084492924497e-50,1.213954838020329875e-50,-9.913575690447810373e-50
9.500000000000000111e-02,2.218007458641245336e-49,4.863324427408958398e-50,-4.712266031737295686e-49
1.049999999999999961e-01,1.011807706565399838e-48,1.812082157661843769e-49,-2.062574575632126058e-48
1.150000000000000050e-01,4.237020799196798772e-48,7.089664052972491749e-49,-8.243195101258593431e-48
1.250000000000000000e-01,1.615590342493250367e-47,3.224553610634376321e-48,-2.984354643113173740e-47
1.350000000000000089e-01,5.577125499428613732e-47,1.637444738367433191e-47,-9.759897719111532234e-47
1.449999999999999900e-01,1.756044915409551529e-46,8.295234754583337247e-47,-2.956110278692150566e-46
1.549999999999999989e-01,5.368141266436416894e-46,3.920826277488065291e-46,-9.348609356813140511e-46
1.650000000000000078e-01,1.914431280843648329e-45,1.700083959251859798e-45,-3.879806853988541050e-45
1.750000000000000167e-01,9.372593768346056631e-45,6.793130718526983361e-45,-2.160448958651986168e-44
1.849999999999999978e-01,5.472344240345214988e-44,2.520188804972905357e-44,-1.277937077790668875e-43
1.950000000000000067e-01,3.100383704684907622e-43,8.690167342021275318e-44,-6.926180445685132624e-43
2.050000000000000155e-01,1.571649521215199384e-42,2.758570692242735138e-43,-3.312810533369685443e-42
2.149999999999999967e-01,7.031345477140257622e-42,7.880586484999620418e-43,-1.398398749425643665e-41
2.250000000000000056e-01,2.789977299661602863e-41,1.940048760014484051e-42,-5.251316888204362100e-41
2.350000000000000144e-01,9.897559724088791759e-41,3.714763677695487334e-42,-1.768764935413851734e-40
2.449999999999999956e-01,3.162304073851729944e-40,3.410572129788882793e-42,-5.380400916894100418e-40
2.550000000000000044e-01,9.154678535223453802e-40,-1.241024093161251632e-41,-1.486282970860541059e-39
2.650000000000000133e-01,2.413182587515174814e-39,-8.978614096568792642e-41,-3.745652596256521014e-39
2.750000000000000222e-01,5.817203801974826655e-39,-3.571472827918073563e-40,-8.648241655040192748e-39
2.850000000000000311e-01,1.287897767655040139e-38,-1.123112281163335450e-39,-1.837849889410446870e-38
2.949999999999999845e-01,2.632434121024950862e-38,-3.045603985259312038e-39,-3.617258943101338477e-38
3.049999999999999933e-01,5.005754633155354459e-38,-7.392563216013680455e-39,-6.659028438405489042e-38
3.150000000000000022e-01,8.967510983299026209e-38,-1.639142503037904547e-38,-1.165629355619780563e-37
3.250000000000000111e-01,1.545088351400613780e-37,-3.356482523939978826e-38,-1.991597574927290118e-37
3.350000000000000200e-01,2.640056567699645216e-37,-6.363270266281786095e-38,-3.439105007068071162e-37
